adduser	3.118ubuntu5
libjbig2dec0	0.19-3build2
libjcat1	0.1.9-1
libjpeg-turbo8	2.1.2-0ubuntu1
libjpeg8	8c-2ubuntu10
libjq1	1.6-2.1ubuntu3.2
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjson-c5	0.15-3~ubuntu1.22.04.2
libjson-glib-1.0-0	1.6.6-1build1
libjson-glib-1.0-common	1.6.6-1build1
libk5crypto3	1.19.2-2ubuntu0.7
libkeyutils1	1.6.1-2ubuntu3
libklibc	2.0.10-4ubuntu0.2
libkmod2	29-1ubuntu1.1
libkpathsea6	2021.20210626.59705-1ubuntu0.3
libkrb5-3	1.19.2-2ubuntu0.7
libkrb5support0	1.19.2-2ubuntu0.7
libksba8	1.6.0-2ubuntu0.2
liblapack3	3.10.0-2ubuntu1
liblcms2-2	2.12~rc1-2ubuntu0.1
libldap-2.5-0	2.5.18+dfsg-0ubuntu0.22.04.2
libldap-common	2.5.18+dfsg-0ubuntu0.22.04.2
liblilv-0-0	0.24.12-2
libllvm11	1:11.1.0-6
libllvm15	1:15.0.7-0ubuntu0.22.04.3
liblmdb0	0.9.24-1build2
liblocale-gettext-perl	1.07-4build3
liblsan0	12.3.0-1ubuntu1~22.04.3
liblvm2cmd2.03	2.03.11-2.1ubuntu4
liblwp-mediatypes-perl	6.04-1
liblwp-protocol-https-perl	6.10-1
liblz4-1	1.9.3-2build2
liblzma5	5.2.5-2ubuntu1.1
liblzo2-2	2.10-2build3
libmagic-mgc	1:5.41-3ubuntu0.1
libmagic1	1:5.41-3ubuntu0.1
libmailtools-perl	2.21-1
libmaxminddb0	1.5.2-1build2
libmbim-glib4	1.28.0-1~ubuntu20.04.1
libmbim-proxy	1.28.0-1~ubuntu20.04.1
libmd0	1.0.4-1build1
libmfx1	22.3.0-1
libmm-glib0	1.20.0-1~ubuntu22.04.4
libmnl0	1.0.4-3build2
libmodule-find-perl	0.15-1
libmodule-scandeps-perl	1.31-1ubuntu0.1
libmotif-common	2.3.8-3
libmount1	2.37.2-4ubuntu3.5
libmp3lame0	3.100-3build2
libmpc3	1.2.1-2build1
libmpdec3	2.5.1-2build2
libmpfr6	4.1.0-3build3
libmpg123-0	1.29.3-1ubuntu0.1
libmspack0	0.10.1-2build2
libmysofa1	1.2.1~dfsg0-1
libncurses6	6.3-2ubuntu0.1
libncursesw6	6.3-2ubuntu0.1
libnet-dbus-perl	1.2.0-1build3
libnet-http-perl	6.22-1
libnet-smtp-ssl-perl	1.04-1
libnet-ssleay-perl	1.92-1build2
libnetfilter-conntrack3	1.0.9-1
libnetplan0	0.106.1-7ubuntu0.22.04.4
libnettle8	3.7.3-1build2
libnewt0.52	0.52.21-5ubuntu2
libnfnetlink0	1.0.1-3build3
libnftables1	1.0.2-1ubuntu3
libnftnl11	1.2.1-1build1
libnghttp2-14	1.43.0-1ubuntu0.3
libnl-3-200	3.5.0-0.1
libnl-genl-3-200	3.5.0-0.1
libnorm1	1.5.9+dfsg-2
libnpth0	1.6-3build2
libnsl-dev	1.3.0-2build2
libnsl2	1.3.0-2build2
libnspr4	2:4.35-0ubuntu0.22.04.1
libnss-systemd	249.11-0ubuntu3.21
libnss3	2:3.98-0ubuntu0.22.04.3
libntfs-3g89	1:2021.8.22-3ubuntu1.3
libnuma1	2.0.14-3ubuntu2
libnvidia-cfg1-535-server	535.309.01-0ubuntu0.22.04.1
libnvidia-compute-535-server	535.309.01-0ubuntu0.22.04.1
libogg0	1.3.5-0ubuntu3
libonig5	6.9.7.1-2build1
libopenal-data	1:1.19.1-2build3
libopenal1	1:1.19.1-2build3
libopeniscsiusr	2.1.5-1ubuntu1
libopenjp2-7	2.4.0-6ubuntu0.5
libopenmpt0	0.6.1-1
libopus0	1.3.1-0.1build2
libp11-kit0	0.24.0-6build1
libpackagekit-glib2-18	1.2.5-2ubuntu3.1
libpam-cap	1:2.44-1ubuntu0.22.04.3
libpam-modules	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-runtime	1.4.0-11ubuntu2.6
libpam-systemd	249.11-0ubuntu3.21
libpam0g	1.4.0-11ubuntu2.6
libpango-1.0-0	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0	1.50.6+ds-2ubuntu1
libpaper-utils	1.1.28build2
libpaper1	1.1.28build2
libparted-fs-resize0	3.4-2build1
libparted2	3.4-2build1
libpcap0.8	1.10.1-4ubuntu1.22.04.1
libpci3	1:3.7.0-6
libpciaccess0	0.16-3
libpcre2-8-0	10.39-3ubuntu0.1
libpcre3	2:8.39-13ubuntu0.22.04.1
libpdfbox-java	1:1.8.16-2
libperl5.34	5.34.0-3ubuntu1.5
libpgm-5.3-0	5.3.128~dfsg-2
libphobos2-ldc-shared98	1:1.28.0-1ubuntu1
libpipeline1	1.5.5-1
libpixman-1-0	0.40.0-1ubuntu0.22.04.1
libplist3	2.2.0-6build2
libplymouth5	0.9.5+git20211018-1ubuntu3
libpng16-16	1.6.37-3ubuntu0.5
libpocketsphinx3	0.8.0+real5prealpha+1-14ubuntu1
libpolkit-agent-1-0	0.105-33ubuntu0.1
libpolkit-gobject-1-0	0.105-33ubuntu0.1
libpoppler118	22.02.0-2ubuntu0.13
libpopt0	1.18-3build1
libpostproc55	7:4.4.2-0ubuntu0.22.04.1
libproc-processtable-perl	0.634-1build1
libprocps8	2:3.3.17-6ubuntu2.1
libpsl5	0.21.0-1.2build2
libptexenc1	2021.20210626.59705-1ubuntu0.3
libpulse0	1:15.99.1+dfsg1-1ubuntu2.2
libpython3-stdlib	3.10.6-1~22.04.1
libpython3.10	3.10.12-1~22.04.15
libpython3.10-minimal	3.10.12-1~22.04.15
libpython3.10-stdlib	3.10.12-1~22.04.15
libqmi-glib5	1.32.0-1ubuntu0.22.04.1
libqmi-proxy	1.32.0-1ubuntu0.22.04.1
libquadmath0	12.3.0-1ubuntu1~22.04.3
librabbitmq4	0.10.0-1ubuntu2
libraw1394-11	2.1.2-2build2
libreadline8	8.1.2-1
librsvg2-2	2.52.5+dfsg-3ubuntu0.2
librsvg2-common	2.52.5+dfsg-3ubuntu0.2
librtmp1	2.4+20151223.gitfa8646d.1-2build4
librubberband2	2.0.0-2
libruby3.0	3.0.2-7ubuntu2.12
libsamplerate0	0.2.2-1build1
libsasl2-2	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2
libsdl2-2.0-0	2.0.20+dfsg-2ubuntu1.22.04.1
libseccomp2	2.5.3-2ubuntu2
libselinux1	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5	1:3.6.0-7ubuntu1
libsepol2	3.3-1build1
libserd-0-0	0.30.10-2
libsgutils2-2	1.46-1ubuntu0.22.04.1
libshine3	3.1.1-2
libsigsegv2	2.13-1ubuntu3
libslang2	2.3.2-5build4
libsm6	2:1.2.3-1build2
libsmartcols1	2.37.2-4ubuntu3.5
libsmbios-c2	2.4.3-1build1
libsnappy1v5	1.1.8-1build3
libsndfile1	1.0.31-2ubuntu0.2
libsndio7.0	1.8.1-1.1
libsodium23	1.0.18-1ubuntu0.22.04.1
libsord-0-0	0.16.8-2
libsort-naturally-perl	1.03-2
libsoxr0	0.1.3-4build2
libspeex1	1.2~rc1.2-1.1ubuntu3
libsphinxbase3	0.8+5prealpha+1-13build1
libsqlite3-0	3.37.2-2ubuntu0.5
libsratom-0-0	0.6.8-1
libsrt1.4-gnutls	1.4.4-4
libss2	1.46.5-2ubuntu1.2
libssh-4	0.9.6-2ubuntu0.22.04.7
libssh-gcrypt-4	0.9.6-2ubuntu0.22.04.7
libssl3	3.0.2-0ubuntu1.25
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.3
libstdc++6	12.3.0-1ubuntu1~22.04.3
libstemmer0d	2.2.0-1build1
libswresample3	7:4.4.2-0ubuntu0.22.04.1
libswscale5	7:4.4.2-0ubuntu0.22.04.1
libsynctex2	2021.20210626.59705-1ubuntu0.3
libsystemd0	249.11-0ubuntu3.21
libtasn1-6	4.18.0-4ubuntu0.2
libtcl8.6	8.6.12+dfsg-1build1
libteckit0	2.5.11+ds1-1
libterm-readkey-perl	2.38-1build4
libtexlua53	2021.20210626.59705-1ubuntu0.3
libtexluajit2	2021.20210626.59705-1ubuntu0.3
libtext-charwidth-perl	0.04-10build3
libtext-iconv-perl	1.7-7build3
libtext-wrapi18n-perl	0.06-9
libthai-data	0.1.29-1build1
libthai0	0.1.29-1build1
libtheora0	1.1.1+dfsg.1-15ubuntu4
libtie-ixhash-perl	1.23-2.1
libtiff5	4.3.0-6ubuntu0.13
libtimedate-perl	2.3300-2
libtinfo6	6.3-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev	1.3.2-2ubuntu0.1
libtirpc3	1.3.2-2ubuntu0.1
libtk8.6	8.6.12-1build1
libtry-tiny-perl	0.31-1
libtsan0	11.4.0-1ubuntu1~22.04.3
libtss2-esys-3.0.2-0	3.2.0-1ubuntu1.1
libtss2-mu0	3.2.0-1ubuntu1.1
libtss2-sys1	3.2.0-1ubuntu1.1
libtss2-tcti-cmd0	3.2.0-1ubuntu1.1
libtss2-tcti-device0	3.2.0-1ubuntu1.1
libtss2-tcti-mssim0	3.2.0-1ubuntu1.1
libtss2-tcti-swtpm0	3.2.0-1ubuntu1.1
libtwolame0	0.4.0-2build2
libubsan1	12.3.0-1ubuntu1~22.04.3
libuchardet0	0.0.7-1build2
libudev1	249.11-0ubuntu3.21
libudfread0	1.1.2-1
libudisks2-0	2.9.4-1ubuntu2.3
libunistring2	1.0-1
libunwind8	1.3.2-2build2.1
libupower-glib3	0.99.17-1
liburcu8	0.13.1-1
liburi-perl	5.10-1
libusb-1.0-0	2:1.0.25-1ubuntu2
libusbmuxd6	2.0.2-3build2
libutempter0	1.2.1-2build2
libuuid1	2.37.2-4ubuntu3.5
libuv1	1.43.0-1ubuntu0.1
libva-drm2	2.14.0-1
libva-x11-2	2.14.0-1
libva2	2.14.0-1
libvdpau1	1.4-3build2
libvidstab1.1	1.1.0-2
libvolume-key1	0.3.12-3.1build3
libvorbis0a	1.3.7-1build2
libvorbisenc2	1.3.7-1build2
libvorbisfile3	1.3.7-1build2
libvpx7	1.11.0-2ubuntu2.5
libvte-2.91-0	0.68.0-1ubuntu0.1
libvte-2.91-common	0.68.0-1ubuntu0.1
libvted-3-0	3.10.0-1ubuntu1
libwayland-client0	1.20.0-1ubuntu0.1
libwayland-cursor0	1.20.0-1ubuntu0.1
libwayland-egl1	1.20.0-1ubuntu0.1
libwayland-server0	1.20.0-1ubuntu0.1
libwebp7	1.2.2-2ubuntu0.22.04.2
libwebpmux3	1.2.2-2ubuntu0.22.04.2
libwoff1	1.0.2-1build4
libwrap0	7.6.q-31build2
libwww-perl	6.61-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-protocol-perl	0.56-7.1
libx11-xcb1	2:1.7.5-1ubuntu0.3
libx264-163	2:0.163.3060+git5db6aa6-2build1
libx265-199	3.5-2
libxau6	1:1.0.9-1build5
libxaw7	2:1.0.14-1
libxcb-dri2-0	1.14-3ubuntu3
libxcb-dri3-0	1.14-3ubuntu3
