name,class,shape,policy
model.vision_tower.vision_model.encoder.layers.3.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.3.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.4.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.4.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.4.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.5.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.5.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.5.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.5.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.5.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.5.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.5.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.5.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.6.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.6.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.6.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.6.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.6.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.6.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.6.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.6.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.7.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.7.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.7.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.7.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.7.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.7.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.7.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.7.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.8.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.8.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.8.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.8.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.8.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.8.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.8.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.8.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.9.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.9.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.9.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.9.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.9.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.9.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.9.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.9.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.10.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.10.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.10.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.10.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.10.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.10.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.10.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.10.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.11.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.11.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.11.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.11.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.11.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.11.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.11.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.11.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.12.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.12.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.12.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.12.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.12.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.12.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.12.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.12.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.13.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.13.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.13.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.13.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.13.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.13.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.13.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.13.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.14.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.14.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.14.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.14.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.14.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.14.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.14.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.14.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.15.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.15.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.15.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.15.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.15.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.15.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.15.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.15.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.16.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.16.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.16.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.16.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.16.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.16.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.16.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.16.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.17.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.17.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.17.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.17.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.17.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.17.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.17.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.17.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.18.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.18.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.18.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.18.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.18.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.18.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.18.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.18.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.19.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.19.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.19.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.19.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.19.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.19.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.19.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.19.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.20.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.20.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.20.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.20.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.20.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.20.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.20.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.20.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.21.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.21.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.21.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.21.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.21.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.21.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.21.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.21.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.22.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.22.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.22.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.22.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.22.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.22.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.22.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.22.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.23,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.23.layer_norm1,LayerNorm,1152,output_critical_preserve
